Station No.,Vf,Has Paddler?,bw
1,1.7905445496816776,False,102.67857142857143
2,4.543860367942692,False,102.67857142857143
3,7.712819886897889,False,102.67857142857143
4,10.426391885434567,False,102.67857142857143
5,788.081894937422,True,102.67857142857143
6,14.926402358026229,False,102.67857142857143
7,16.838375015390834,False,102.67857142857143
8,18.57062441716154,False,102.67857142857143
9,20.138744504684365,False,102.67857142857143
10,21.553169583644056,False,102.67857142857143
11,22.82251398030764,False,102.67857142857143
12,23.954819352927124,False,102.67857142857143
13,24.9579667265027,False,102.67857142857143
14,25.839794633567816,False,102.67857142857143
15,26.608132425868533,False,102.67857142857143
16,27.27080738517827,False,102.67857142857143
17,27.835646438607508,False,102.67857142857143
18,28.310476822539353,False,102.67857142857143
19,772.1852755230701,True,102.67857142857143
20,29.02141717960429,False,102.67857142857143
21,29.27318145730626,False,102.67857142857143
22,29.46624425984986,False,102.67857142857143
23,29.60843243536824,False,102.67857142857143
24,29.70757276223503,False,102.67857142857143
25,29.771492502175818,False,102.67857142857143
26,771.0803824005527,True,102.67857142857143
27,29.824975810703865,False,102.67857142857143
28,29.830193675694094,False,102.67857142857143
29,29.830193675694094,False,102.67857142857143
30,29.824975810703865,False,102.67857142857143
31,771.0803824005527,True,102.67857142857143
32,29.771492502175818,False,102.67857142857143
33,29.70757276223503,False,102.67857142857143
34,29.60843243536824,False,102.67857142857143
35,29.46624425984986,False,102.67857142857143
36,29.273181457306194,False,102.67857142857143
37,29.02141717960436,False,102.67857142857143
38,772.1852755230701,True,102.67857142857143
39,28.310476822539353,False,102.67857142857143
40,27.835646438607494,False,102.67857142857143
41,27.270807385178315,False,102.67857142857143
42,26.60813242586849,False,102.67857142857143
43,25.839794633567774,False,102.67857142857143
44,24.95796672650264,False,102.67857142857143
45,23.95481935292731,False,102.67857142857143
46,22.822513980307495,False,102.67857142857143
47,21.553169583644166,False,102.67857142857143
48,20.13874450468434,False,102.67857142857143
49,18.570624417161508,False,102.67857142857143
50,16.838375015390817,False,102.67857142857143
51,14.926402358026214,False,102.67857142857143
52,788.0818949374218,True,102.67857142857143
53,10.426391885434505,False,102.67857142857143
54,7.712819886897935,False,102.67857142857143
55,4.5438603679426866,False,102.67857142857143
